Time,Theta_SW,Theta_H,Theta_A,Theta_S,K_H,K_A,B_H,B_A
0.426,0.586179982,0.413231614,0.910625957,0.587084089,0.5,0.5,0.1,0.1
0.428,0.58798697,0.415052038,0.909797673,0.588962516,0.5,0.5,0.1,0.1
0.43,0.589772388,0.416870802,0.90896575,0.590826646,0.5,0.5,0.1,0.1
0.432,0.591539442,0.418687899,0.908130191,0.592673419,0.5,0.5,0.1,0.1
0.434,0.593291321,0.420503321,0.907290999,0.594499796,0.5,0.5,0.1,0.1
0.436,0.595030967,0.422317061,0.906448179,0.596302985,0.5,0.5,0.1,0.1
0.438,0.59676088,0.424129111,0.905601732,0.598080641,0.5,0.5,0.1,0.1
0.44,0.598482949,0.425939465,0.904751663,0.599831031,0.5,0.5,0.1,0.1
0.442,0.600198331,0.427748115,0.903897975,0.601553157,0.5,0.5,0.1,0.1
0.444,0.601907394,0.429555055,0.903040672,0.603246813,0.5,0.5,0.1,0.1
0.446,0.603609704,0.431360276,0.902179756,0.604912598,0.5,0.5,0.1,0.1
0.448,0.605304079,0.433163771,0.901315232,0.606551858,0.5,0.5,0.1,0.1
0.45,0.606988696,0.434965534,0.900447102,0.608166586,0.5,0.5,0.1,0.1
0.452,0.608661238,0.436765557,0.899575371,0.60975927,0.5,0.5,0.1,0.1
0.454,0.610319074,0.438563833,0.898700041,0.611332713,0.5,0.5,0.1,0.1
0.456,0.611959462,0.440360355,0.897821117,0.612889832,0.5,0.5,0.1,0.1
0.458,0.613579755,0.442155115,0.896938601,0.614433451,0.5,0.5,0.1,0.1
0.46,0.615177593,0.443948107,0.896052498,0.615966109,0.5,0.5,0.1,0.1
0.462,0.616751075,0.445739323,0.89516281,0.617489886,0.5,0.5,0.1,0.1
0.464,0.618298894,0.447528756,0.894269541,0.619006273,0.5,0.5,0.1,0.1
0.466,0.619820425,0.449316399,0.893372696,0.620516078,0.5,0.5,0.1,0.1
0.468,0.621315766,0.451102244,0.892472277,0.622019388,0.5,0.5,0.1,0.1
0.47,0.622785722,0.452886285,0.891568288,0.623515587,0.5,0.5,0.1,0.1
0.472,0.624231742,0.454668515,0.890660733,0.625003413,0.5,0.5,0.1,0.1
0.474,0.625655811,0.456448926,0.889749615,0.626481072,0.5,0.5,0.1,0.1
0.476,0.6270603,0.458227511,0.888834939,0.627946384,0.5,0.5,0.1,0.1
0.478,0.628447802,0.460004263,0.887916707,0.629396949,0.5,0.5,0.1,0.1
